Toronto Downtown, (31103) Hourly, Fine Particulate Matter (PM2.5) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Toronto Downtown (31103),,,,,,,,,,,,,,,,,,,,,,,,,
Address,Bay St./wellesley St. W.,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.662972,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.388111,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 105 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air Intake Height,10 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Fine Particulate Matter,1/1/2003,3,4,3,2,1,2,1,1,1,1,0,0,1,0,1,1,2,2,1,1,0,1,2,2
31103,Fine Particulate Matter,2/1/2003,3,2,1,2,2,1,4,2,3,4,2,2,2,3,2,3,2,3,3,4,4,1,3,3
31103,Fine Particulate Matter,3/1/2003,2,3,3,3,2,3,2,3,3,3,3,2,2,2,3,3,2,3,3,4,4,4,5,3
31103,Fine Particulate Matter,4/1/2003,3,4,5,3,4,3,4,5,4,4,4,4,3,6,6,5,8,8,8,8,5,4,6,7
31103,Fine Particulate Matter,5/1/2003,4,3,5,6,6,5,5,5,7,6,6,8,7,9,10,12,7,9,14,16,18,12,13,11
31103,Fine Particulate Matter,6/1/2003,11,10,11,11,10,9,4,7,9,14,10,1,3,3,5,3,2,3,3,3,3,2,3,3
31103,Fine Particulate Matter,7/1/2003,2,4,4,3,4,4,4,5,3,1,2,2,2,1,4,4,5,4,4,5,4,3,6,11
31103,Fine Particulate Matter,8/1/2003,11,10,10,8,6,5,6,3,2,2,2,2,1,1,2,2,2,5,3,1,2,1,4,4
31103,Fine Particulate Matter,9/1/2003,3,3,4,4,4,4,5,3,3,3,3,2,1,2,2,2,2,2,1,2,4,4,5,3
31103,Fine Particulate Matter,10/1/2003,3,1,1,1,1,2,3,3,3,6,4,2,0,0,1,4,1,5,4,5,3,2,1,1
31103,Fine Particulate Matter,11/1/2003,1,2,3,2,2,3,3,3,2,2,3,2,2,3,3,3,3,4,3,4,3,3,3,3
31103,Fine Particulate Matter,12/1/2003,2,3,2,0,1,2,2,3,3,4,3,0,0,1,1,2,3,2,5,3,3,2,1,2
31103,Fine Particulate Matter,13/1/2003,1,1,1,1,0,0,3,6,1,2,2,1,1,5,1,2,2,3,3,2,2,2,1,1
31103,Fine Particulate Matter,14/1/2003,1,2,1,1,2,1,2,5,8,11,5,3,2,1,2,2,4,5,5,6,4,3,3,1
31103,Fine Particulate Matter,15/1/2003,0,1,2,3,3,1,2,2,3,4,3,2,2,2,3,3,3,4,4,4,5,3,1,1
31103,Fine Particulate Matter,16/1/2003,4,4,3,3,2,1,2,2,2,3,2,1,1,3,4,4,4,4,5,7,7,6,6,7
31103,Fine Particulate Matter,17/1/2003,8,6,0,0,0,0,2,3,3,4,3,2,3,4,5,5,4,5,5,6,6,6,7,7
31103,Fine Particulate Matter,18/1/2003,7,7,6,2,2,2,3,4,4,2,3,2,2,3,4,5,4,5,6,7,7,3,5,6
31103,Fine Particulate Matter,19/1/2003,5,5,6,6,6,6,6,5,6,4,1,0,1,2,3,3,4,4,5,5,3,4,3,4
31103,Fine Particulate Matter,20/1/2003,5,5,3,1,1,3,1,2,3,3,2,1,2,2,3,3,3,4,5,6,6,5,6,5
31103,Fine Particulate Matter,21/1/2003,4,5,5,6,4,3,3,6,7,10,8,2,2,3,4,2,3,3,3,5,5,5,4,3
31103,Fine Particulate Matter,22/1/2003,4,3,4,1,0,0,2,5,7,5,3,4,4,3,4,3,2,4,5,4,4,3,3,2
31103,Fine Particulate Matter,23/1/2003,1,2,1,1,2,3,3,2,2,3,3,3,3,3,3,3,4,4,4,3,3,1,1,1
31103,Fine Particulate Matter,24/1/2003,1,2,2,1,2,1,2,3,6,7,4,5,4,8,9,7,4,2,3,3,3,5,5,4
31103,Fine Particulate Matter,25/1/2003,5,7,6,5,5,6,5,6,6,6,4,4,5,5,6,6,7,7,6,7,7,6,8,7
31103,Fine Particulate Matter,26/1/2003,7,8,8,9,9,6,2,1,1,2,1,0,1,0,1,2,3,4,5,5,5,5,3,3
31103,Fine Particulate Matter,27/1/2003,2,2,2,2,2,3,5,6,9,9,6,8,10,7,6,10,10,7,6,3,6,3,3,5
31103,Fine Particulate Matter,28/1/2003,4,5,3,3,3,6,8,8,8,9,8,9,10,10,11,11,12,10,11,10,10,13,12,13
31103,Fine Particulate Matter,29/1/2003,12,13,12,12,13,12,12,11,3,2,3,4,3,3,3,3,4,5,5,4,5,4,5,7
31103,Fine Particulate Matter,30/1/2003,7,5,5,5,7,9,10,11,14,20,9,5,9,8,7,6,7,9,7,7,9,9,9,7
31103,Fine Particulate Matter,31/1/2003,8,8,9,12,20,15,19,22,18,20,16,13,12,14,16,17,22,24,21,19,19,17,17,15
31103,Fine Particulate Matter,1/2/2003,15,14,14,12,11,12,13,15,15,14,11,15,17,20,23,25,24,18,14,17,24,21,20,18
31103,Fine Particulate Matter,2/2/2003,12,14,14,5,2,3,2,3,6,7,7,6,8,9,10,11,12,12,12,12,12,12,12,10
31103,Fine Particulate Matter,3/2/2003,10,10,9,7,8,8,8,5,8,4,3,3,2,1,1,4,2,3,5,6,3,4,3,3
31103,Fine Particulate Matter,4/2/2003,1,3,7,5,8,9,2,3,0,1,2,0,9999,9999,9999,9999,7,2,4,3,2,2,1,2
31103,Fine Particulate Matter,5/2/2003,2,2,3,3,3,2,3,4,4,5,5,3,2,3,3,3,5,1,3,3,2,3,5,5
31103,Fine Particulate Matter,6/2/2003,6,6,6,7,7,6,8,7,10,7,11,10,8,8,6,7,8,7,9,10,10,9,9,7
31103,Fine Particulate Matter,7/2/2003,3,0,0,2,2,0,1,3,2,2,3,2,1,1,2,3,1,2,4,4,5,6,6,6
31103,Fine Particulate Matter,8/2/2003,5,2,1,2,4,5,5,6,5,2,2,3,4,3,4,4,4,5,7,7,7,8,9,9
31103,Fine Particulate Matter,9/2/2003,8,7,7,3,6,6,5,2,3,1,0,2,1,2,3,2,1,2,3,6,6,5,7,7
31103,Fine Particulate Matter,10/2/2003,4,4,5,3,3,3,3,4,3,2,7,9,7,10,8,7,0,0,1,2,4,3,3,3
31103,Fine Particulate Matter,11/2/2003,3,2,4,1,3,3,4,8,11,10,10,5,0,0,1,5,2,5,5,6,4,1,1,3
