date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2023-10-22,11.4,7.12,6,0.6,,,88,66.3,65.5,43,3.8,0.9,1.2,-1.4,41,26.92,26,11,59,32,101.93,101.12,101.17,100.4,99.81,99.02,99.06,98.32,24100,23900,21700,19300,,,,,12,0,1,0,0,0.8,0.8,0,,07:40:00,1697974800,7.67,18:23:00,1698013380,18.38,10.72,2,2,10,10,1,1,,,,,,8,3.2,4,0,,,,
2023-10-21,12.3,9.81,9.05,5.8,,,100,81.1,84,68,9.9,6.7,6.8,3.6,41,25.67,24.5,8,48,30,100.36,99.9,100.03,99.7,98.28,97.84,97.96,97.64,24100,24100,24100,24100,,,,,8.9,0,4,2,0,0.6,0.6,0,,07:39:00,1697888340,7.65,18:25:00,1697927100,18.42,10.77,3,3,12,13,4,7,,,,,,8,7.3,5,2,,,,
2023-10-20,14.4,12.83,11.75,9.1,,,100,94.7,91,82,13.3,12,11.4,9.5,17,10.79,11.5,6,,,100.36,99.92,100.05,99.74,98.3,97.87,98,97.69,24100,20966.7,16900,9700,,,,,6.2,0,6.8,4.8,1.8,4.4,4.4,0,,07:38:00,1697801880,7.63,18:26:00,1697840760,18.43,10.8,1,1,14,14,9,10,,,,,,8,7,4.5,1,,,,
2023-10-19,16.8,12.75,12.85,8.9,,,96,77.2,78.5,61,11.3,8.7,9,6.7,22,12.33,14.5,7,40,16,101.77,101.2,101.11,100.45,99.67,99.12,99.03,98.39,24100,23900,21700,19300,,,,,5.2,0,7.8,5.8,2.8,0.2,0.2,0,,07:36:00,1697715360,7.6,18:28:00,1697754480,18.47,10.87,3,3,17,17,12,13,,,,,,8,6.2,4.5,1,,,,
2023-10-18,14.7,11.43,11.25,7.8,,,87,68.9,69.5,52,7.9,5.8,5.8,3.6,22,10.92,12,2,31,14,102.03,101.88,101.9,101.78,99.93,99.78,99.81,99.68,24100,24100,24100,24100,,,,,6.8,0,6.2,4.2,1.2,0,0,0,,07:35:00,1697628900,7.58,18:30:00,1697668200,18.5,10.92,3,3,16,16,8,9,,,,,,8,5.2,4.5,1,,,,
2023-10-17,15.9,11.4,11.4,6.9,,,87,66.5,68,49,6.2,5.2,5.3,4.4,21,13.83,13,5,30,33,101.77,101.53,101.55,101.33,99.68,99.44,99.46,99.24,24100,24100,24100,24100,,,,,6.6,0,6.4,4.4,1.4,0,0,0,,07:34:00,1697542440,7.57,18:31:00,1697581860,18.52,10.95,3,3,15,16,3,5,,,,,,8,5,4.5,1,,,,
2023-10-16,13.2,10.16,10.45,7.7,,,92,76.5,79.5,67,7.9,6.1,6.2,4.6,37,23.79,26,15,56,35,101.32,101.05,101.08,100.83,99.23,98.96,98.99,98.74,24100,24100,24100,24100,,,,,7.5,0,5.5,3.5,0.4,0,0,0,,07:33:00,1697455980,7.55,18:33:00,1697495580,18.55,11,3,3,13,14,4,7,,,,,,8,6.9,5,2,,,,
2023-10-15,10.6,8.85,8.9,7.2,,,88,74.9,77,66,6.2,4.6,5.1,4,31,24.83,24.5,18,46,34,100.98,100.82,100.81,100.64,98.9,98.73,98.73,98.56,24100,23100,16900,9700,,,,,9.1,0,3.9,1.9,0,0,0,0,,07:31:00,1697369460,7.52,18:35:00,1697409300,18.58,11.07,3,3,11,11,8,9,,,,,,8,6.5,4.5,1,,,,
2023-10-14,13.6,11.31,11.3,9,,,79,66.8,66.5,54,6.5,5.4,5,3.5,25,15.33,16.5,8,42,1,101.54,101.14,101.22,100.9,99.45,99.05,99.13,98.82,24100,24100,24100,24100,,,,,6.7,0,6.3,4.3,1.3,0,0,0,,07:30:00,1697283000,7.5,18:36:00,1697322960,18.6,11.1,2,2,13,13,6,7,,,,,,8,7.6,7.5,7,,,,
2023-10-13,14.9,9.83,9.94,5,,,90,70.7,69.5,49,6.5,4.5,4.8,3.1,17,9.79,10.5,4,,,102.04,101.84,101.8,101.56,99.92,99.73,99.69,99.47,24100,24100,24100,24100,,,,,8.1,0,4.9,2.9,0,0,0,0,,07:29:00,1697196540,7.48,18:38:00,1697236680,18.63,11.15,4,4,15,15,9,9,,,,,,8,5.8,4.5,1,,,,
2023-10-12,16,10.16,10.3,4.6,,,94,70.8,70.5,47,6.9,4.7,4.8,2.7,24,14.67,16.5,9,40,35,101.82,101.43,101.48,101.14,99.72,99.33,99.39,99.05,24100,24100,24100,24100,,,,,7.7,0,5.3,3.3,0.3,0,0,0,,07:28:00,1697110080,7.47,18:40:00,1697150400,18.67,11.2,4,4,15,15,5,5,,,,,,7,2.9,3.5,0,,,,
2023-10-11,16.3,10.02,10.85,5.4,,,99,78.2,74,49,7.7,6,5.9,4.1,28,15,16,4,41,26,101.14,100.9,100.89,100.64,99.05,98.81,98.81,98.56,24100,24100,24100,24100,,,,,7.2,0,5.8,3.8,0.8,0,0,0,,07:27:00,1697023620,7.45,18:41:00,1697064060,18.68,11.23,3,3,15,15,6,6,,,,,,8,4.9,4,0,,,,
2023-10-10,13.6,9.39,10.3,7,,,96,72.5,74,52,7.5,4.5,5.2,3,31,19.08,19.5,8,42,26,100.75,100.54,100.56,100.38,98.66,98.46,98.48,98.3,24100,23300,21700,19300,,,,,7.7,0,5.3,3.3,0.3,3.2,3.2,0,,07:25:00,1696937100,7.42,18:43:00,1696977780,18.72,11.3,4,4,13,13,8,8,,,,,,8,7.8,7,6,,,,
2023-10-09,11.4,9.07,9.05,6.7,,,85,63.9,68,51,4.5,2.5,2.5,0.5,37,26.71,24.5,12,60,25,100.45,100.23,100.25,100.06,98.37,98.15,98.18,97.98,24100,24100,24100,24100,,,,,8.9,0,4,2,0,0,0,0,,07:24:00,1696850640,7.4,18:45:00,1696891500,18.75,11.35,2,2,12,12,7,8,,,,,,8,7.5,7.5,7,,,,
2023-10-08,11.1,8.36,9.1,7.1,,,87,75.6,75,63,5.8,4.2,4.4,3,37,27.21,27,17,53,28,100.43,100.2,100.24,100.04,98.36,98.12,98.17,97.97,24100,23100,20100,16100,,,,,8.9,0,4.1,2.1,0,1.4,1.4,0,,07:23:00,1696764180,7.38,18:46:00,1696805160,18.77,11.38,3,3,11,11,8,8,,,,,,8,5.9,4,0,,,,
2023-10-07,15.1,11.55,11.3,7.5,,,90,73.7,70,50,9.5,6.9,7,4.6,30,18.79,16.5,3,48,25,101.02,100.84,100.75,100.49,98.96,98.77,98.69,98.41,24100,24100,24100,24100,,,,,6.7,0,6.3,4.3,1.3,0.6,0.6,0,,07:22:00,1696677720,7.37,18:48:00,1696718880,18.8,11.43,4,4,14,14,7,8,,,,,,8,4.8,4,0,,,,
2023-10-06,23.1,18.26,17.55,12,26,,100,75.4,75.5,51,17.5,13.4,13.2,8.8,27,16.42,14.5,2,42,15,101.14,101.03,101,100.86,99.09,98.97,98.95,98.82,24100,21900,16900,9700,,,,,0.4,0,12.6,10.6,7.5,6.8,6.8,0,,07:21:00,1696591260,7.35,18:50:00,1696632600,18.83,11.48,5,5,22,22,7,11,,,,,,8,4.4,4,0,,,,
2023-10-05,25.9,21.35,21.45,17,31,,100,74,76.5,53,18.6,16.2,16.8,14.9,23,12.96,15,7,44,23,101.72,101.51,101.47,101.21,99.66,99.46,99.41,99.16,24100,22900,20100,16100,,,,,0,3.5,16.4,14.4,11.4,6.4,6.4,0,,07:19:00,1696504740,7.32,18:52:00,1696546320,18.87,11.55,5,5,25,25,17,17,,,,,,8,7.1,5,2,,,,
2023-10-04,27.9,21.95,22.29,16.7,33,,97,73.7,75.5,54,19.5,16.8,16.9,14.3,18,8.12,9.5,1,,,102.15,101.96,101.96,101.76,100.09,99.9,99.89,99.7,24100,24100,24100,24100,,,,,0,4.3,17.3,15.3,12.3,0,0,0,,07:18:00,1696418280,7.3,18:54:00,1696460040,18.9,11.6,5,5,28,28,19,19,,,,,,7,2.7,3.5,0,,,,
2023-10-03,30.4,23.31,23.1,15.8,34,,93,64.9,66.5,40,16.7,15.8,15.8,14.9,14,7.42,7.5,1,,,102.29,102.13,102.14,101.99,100.22,100.06,100.08,99.93,24100,22900,20100,16100,,,,,0,5.1,18.1,16.1,13.1,0,0,0,,07:17:00,1696331820,7.28,18:55:00,1696373700,18.92,11.63,5,5,28,28,17,17,,,,,,1,0.1,0.5,0,,,,
2023-10-02,27.3,20.93,21.35,15.4,31,,91,70.9,69.5,48,16.6,15.2,15.2,13.8,16,8.96,9,2,,,102.53,102.34,102.34,102.15,100.45,100.27,100.26,100.08,24100,24100,24100,24100,,,,,0,3.4,16.4,14.3,11.3,0,0,0,,07:16:00,1696245360,7.27,18:57:00,1696287420,18.95,11.68,5,5,26,27,18,18,,,,,,6,1.5,3,0,,,,
2023-10-01,26.9,19.77,20.65,14.4,30,,89,69.9,66,43,15,13.8,13.9,12.9,19,10.75,10,1,,,102.76,102.58,102.61,102.45,100.67,100.5,100.52,100.37,24100,24100,24100,24100,,,,,0,2.6,15.7,13.7,10.7,0,0,0,,07:15:00,1696158900,7.25,18:59:00,1696201140,18.98,11.73,5,5,26,26,15,15,,,,,,7,2.8,3.5,0,,,,
2023-09-30,23.2,17.89,17.7,12.2,26,,100,78.9,78.5,57,15.3,13.9,13.8,12.4,15,8.12,8,1,,,102.57,102.43,102.39,102.21,100.48,100.34,100.31,100.13,24100,21966.7,20100,16100,,,,,0.3,0,12.7,10.7,7.7,0,0,0,,07:14:00,1696072440,7.23,19:01:00,1696114860,19.02,11.78,6,6,23,23,15,16,,,,,,3,1.3,1.5,0,,,,
2023-09-29,21.4,16.88,16.5,11.6,,,98,79.1,77.5,57,14.9,13,13.3,11.8,18,8.21,10.5,3,,,102.3,102.19,102.21,102.11,100.21,100.11,100.11,100.02,24100,23366.7,20100,16100,,,,,1.5,0,11.5,9.5,6.5,1,1,0,,07:12:00,1695985920,7.2,19:03:00,1696028580,19.05,11.85,5,5,22,22,13,17,,,,,,7,3.3,3.5,0,,,,
2023-09-28,18.8,16.12,16.3,13.8,,,79,67.9,65,51,12,10.1,10,8,29,13.75,18,7,39,10,102.42,102.26,102.27,102.12,100.33,100.17,100.18,100.03,24100,24100,24100,24100,,,,,1.7,0,11.3,9.3,6.3,0.8,0.8,0,,07:11:00,1695899460,7.18,19:04:00,1695942240,19.07,11.88,5,5,20,20,13,13,,,,,,8,6.7,6.5,5,,,,
2023-09-27,20.3,16.9,16.8,13.3,,,77,53.8,50.5,24,11.4,6.9,4.2,-3.1,26,16.12,18,10,40,9,102.77,102.61,102.61,102.44,100.68,100.52,100.51,100.35,24100,24100,24100,24100,,,,,1.2,0,11.8,9.8,6.8,0,0,0,,07:10:00,1695813000,7.17,19:06:00,1695855960,19.1,11.93,5,5,20,20,12,12,,,,,,8,5.1,4.5,1,,,,
2023-09-26,20.3,17.6,18.05,15.8,,,76,61.8,64.5,53,12.3,10.2,10.2,8,27,21.08,21,15,44,8,102.85,102.72,102.68,102.52,100.76,100.63,100.6,100.44,24100,23900,21700,19300,,,,,0,0.1,13.1,11.1,8.1,0,0,0,,07:09:00,1695726540,7.15,19:08:00,1695769680,19.13,11.98,6,6,20,20,13,13,,,,,,8,6.5,5.5,3,,,,
2023-09-25,24.4,18.58,19.39,14.4,,,81,63.6,58.5,36,12.8,11.2,10.4,8,26,16.12,17,8,43,11,102.49,102.17,102.19,101.89,100.41,100.09,100.12,99.82,24100,24100,24100,24100,,,,,0,1.4,14.4,12.4,9.4,0,0,0,,07:08:00,1695640080,7.13,19:10:00,1695683400,19.17,12.03,6,6,23,23,15,15,,,,,,8,5,4.5,1,,,,
2023-09-24,22.8,17.48,17.35,11.9,25,,93,70.1,68,43,14.6,11.6,11,7.4,24,13.96,16,8,39,7,102.14,101.99,102.01,101.87,100.06,99.91,99.92,99.79,24100,24100,24100,24100,,,,,0.6,0,12.3,10.3,7.3,0,0,0,,07:07:00,1695553620,7.12,19:12:00,1695597120,19.2,12.08,6,6,22,22,13,14,,,,,,8,4,4,0,,,,
2023-09-23,22.4,17.06,17.04,11.7,,,98,76.1,73,48,14.6,12.4,12.4,10.2,25,12.21,15,5,37,7,102.51,102.35,102.35,102.19,100.41,100.27,100.26,100.11,24100,24100,24100,24100,,,,,1,0,12,10,7,0,0,0,,07:06:00,1695467160,7.1,19:14:00,1695510840,19.23,12.13,6,6,22,22,13,13,,,,,,8,3.2,4,0,,,,
2023-09-22,22.3,17.77,17.64,13,,,89,68.7,65,41,14.5,11.5,11.4,8.3,18,10.75,11,4,,,102.78,102.64,102.63,102.49,100.69,100.55,100.55,100.41,24100,24100,24100,24100,,,,,0.4,0,12.6,10.6,7.6,0,0,0,,07:04:00,1695380640,7.07,19:15:00,1695424500,19.25,12.18,6,6,22,22,12,13,,,,,,6,1.8,3,0,,,,
2023-09-21,22.2,17.94,17.8,13.4,,,81,64.4,62,43,13.2,10.8,10.5,7.8,13,7.17,7,1,,,102.71,102.57,102.56,102.4,100.62,100.48,100.47,100.31,24100,24100,24100,24100,,,,,0.2,0,12.8,10.8,7.8,0,0,0,,07:03:00,1695294180,7.05,19:17:00,1695338220,19.28,12.23,5,6,23,23,13,15,,,,,,7,4.8,4.5,2,,,,
2023-09-20,21.1,14.5,14.1,7.1,,,83,63,60.5,38,11.7,7.2,7.8,3.9,15,7.58,8.5,2,,,102.38,102.22,102.19,102,100.29,100.13,100.1,99.91,24100,24100,24100,24100,,,,,3.9,0,9.1,7.1,4.1,0,0,0,,07:02:00,1695207720,7.03,19:19:00,1695251940,19.32,12.28,5,5,21,21,10,11,,,,,,3,0.7,1.5,0,,,,
2023-09-19,20.9,15.09,15.14,9.4,,,94,62.8,62.5,31,9.5,7.2,6.2,2.9,27,17.54,18,9,41,29,101.97,101.68,101.69,101.4,99.88,99.59,99.61,99.33,24100,24100,24100,24100,,,,,2.9,0,10.1,8.1,5.1,0,0,0,,07:01:00,1695121260,7.02,19:21:00,1695165660,19.35,12.33,5,5,22,22,8,8,,,,,,3,1,1.5,0,,,,
2023-09-18,21.9,16.5,16.64,11.4,,,92,72.5,72,52,12.6,11.4,10.7,8.7,36,18.04,21.5,7,46,33,101.39,101.19,101.24,101.08,99.32,99.13,99.17,99.02,24100,24100,24100,24100,,,,,1.4,0,11.6,9.6,6.6,0,0,0,,07:00:00,1695034800,7,19:23:00,1695079380,19.38,12.38,4,5,21,21,10,11,,,,,,8,4.3,4,0,,,,
2023-09-17,23.6,18.11,18.75,13.9,25,,84,67,65.5,47,13.6,11.8,11.8,10.1,23,9.17,12.5,2,32,33,101.45,101.28,101.29,101.14,99.39,99.22,99.24,99.08,24100,24100,24100,24100,,,,,0,0.8,13.8,11.8,8.8,0,0,0,,06:59:00,1694948340,6.98,19:25:00,1694993100,19.42,12.43,5,5,22,22,13,13,,,,,,8,6.9,6.5,5,,,,
2023-09-16,24.1,16.96,17.1,10.1,,,87,63.2,64.5,42,10.7,9.3,9.5,8.3,21,10.58,12,3,34,29,101.98,101.73,101.72,101.46,99.9,99.66,99.64,99.39,24100,24100,24100,24100,,,,,0.9,0,12.1,10.1,7.1,0,0,0,,06:58:00,1694861880,6.97,19:26:00,1694906760,19.43,12.47,6,6,23,23,14,14,,,,,,7,3.8,3.5,0,,,,
2023-09-15,20.5,15.28,14.6,8.7,,,85,66.9,65.5,46,11.2,9,9.1,7,16,8.25,10,4,,,102.43,102.23,102.22,102,100.33,100.14,100.12,99.92,24100,24100,24100,24100,,,,,3.4,0,9.6,7.6,4.6,0,0,0,,06:57:00,1694775420,6.95,19:28:00,1694820480,19.47,12.52,6,6,21,21,10,10,,,,,,1,0.5,0.5,0,,,,
2023-09-14,20,14.76,14.85,9.7,,,92,66,68.5,45,9.2,8.1,7.7,6.2,21,12.5,11,1,27,35,102.3,102.13,102.07,101.84,100.21,100.03,99.98,99.75,24100,24100,24100,24100,,,,,3.1,0,9.8,7.8,4.8,0,0,0,,06:55:00,1694688900,6.92,19:30:00,1694734200,19.5,12.58,6,6,20,20,8,8,,,,,,7,2.8,3.5,0,,,,
2023-09-13,19.3,15.17,14.9,10.5,,,90,71,72,54,12.8,9.7,10.1,7.4,27,18,18,9,39,31,101.83,101.6,101.63,101.43,99.74,99.53,99.55,99.36,24100,24100,24100,24100,,,,,3.1,0,9.9,7.9,4.9,0,0,0,,06:54:00,1694602440,6.9,19:32:00,1694647920,19.53,12.63,6,6,20,20,11,11,,,,,,7,4,3.5,0,,,,
