date,max_dew_point_v,max_relative_humidity_v,max_temperature_v,max_wind_speed_v,min_dew_point_v,min_relative_humidity_v,min_temperature_v,min_wind_speed_v,precipitation_v,rain_v,snow_v,snow_on_ground_v
23/10/2023,7.03,89.42,12.83,28.12,1.22,57.2,4.35,5.3,2.26,2.25,0.01,0
22/10/2023,7.29,89.54,13.01,28.41,1.39,57.49,4.53,5.37,2.25,2.24,0.01,0
21/10/2023,7.61,89.6,13.31,28.08,1.64,57.53,4.74,5.2,2.34,2.33,0.01,0
20/10/2023,7.98,89.79,13.7,27.92,1.94,57.53,5,5.06,2.36,2.35,0.01,0
19/10/2023,8.18,89.65,14.04,27.7,2.11,57,5.2,4.95,2.24,2.24,0,0
18/10/2023,8.38,89.57,14.38,27.55,2.25,56.4,5.36,4.85,2.1,2.1,0,0
17/10/2023,8.56,89.55,14.71,27.45,2.43,55.93,5.54,4.71,2,2,0,0
16/10/2023,8.81,89.62,15.05,27.25,2.63,55.7,5.71,4.61,2.09,2.1,0,0
15/10/2023,9.07,89.67,15.4,27.22,2.86,55.38,5.96,4.5,1.97,1.97,0,0
14/10/2023,9.43,89.74,15.77,27.33,3.13,55.24,6.18,4.45,1.95,1.95,0,0
13/10/2023,9.61,89.63,16.05,27.08,3.31,55.02,6.39,4.31,1.98,1.98,0,0
12/10/2023,9.67,89.7,16.17,26.73,3.44,54.8,6.46,4.33,2.09,2.09,0,0
11/10/2023,9.92,90,16.35,26.66,3.67,54.97,6.66,4.34,2.03,2.03,0,0
10/10/2023,10.16,90.03,16.56,26.6,3.88,54.91,6.89,4.25,2.07,2.07,0,0
9/10/2023,10.42,89.98,16.86,26.38,4.06,54.85,7.07,4.2,2.08,2.08,0,0
8/10/2023,10.62,90.05,17.16,26.28,4.27,54.58,7.27,4.13,1.98,1.98,0,0
7/10/2023,10.72,90.1,17.37,26,4.48,54.41,7.5,4.06,2,2,0,0
6/10/2023,10.83,90.21,17.55,26.15,4.62,54.32,7.64,4.08,2.05,2.05,0,0
5/10/2023,10.97,90.17,17.7,26.14,4.86,54.37,7.87,4.11,2.07,2.07,0,0
4/10/2023,11.23,90.26,18.01,26.16,5.23,54.61,8.17,4.07,2.16,2.16,0,0
3/10/2023,11.54,90.46,18.27,26.18,5.5,54.81,8.4,4,2.25,2.25,0,0
2/10/2023,11.77,90.4,18.5,26.23,5.73,54.98,8.65,3.95,2.37,2.37,0,0
1/10/2023,11.87,90.32,18.69,26.11,5.86,54.75,8.79,3.88,2.28,2.28,0,0
30/9/2023,12,90.14,18.91,26.09,6,54.44,8.94,3.94,2.32,2.32,0,0
29/9/2023,12.15,90.2,19.1,26.05,6.12,54.29,9.12,3.87,2.5,2.5,0,0
28/9/2023,12.38,90.19,19.43,26.13,6.35,53.97,9.33,3.86,2.56,2.56,0,0
27/9/2023,12.73,89.98,19.82,26.24,6.62,53.91,9.62,3.76,2.38,2.38,0,0
26/9/2023,12.86,89.75,20.12,25.99,6.81,53.35,9.84,3.66,2.42,2.42,0,0
25/9/2023,13.07,89.71,20.48,25.87,7.03,52.9,10.02,3.71,2.34,2.34,0,0
24/9/2023,13.25,89.64,20.77,25.65,7.3,52.82,10.25,3.64,2.23,2.23,0,0
23/9/2023,13.42,89.63,20.95,25.41,7.5,52.77,10.44,3.55,2.28,2.28,0,0
22/9/2023,13.64,89.57,21.18,25.3,7.74,52.79,10.62,3.5,2.2,2.2,0,0
21/9/2023,13.89,89.62,21.5,25.27,8.04,52.72,10.89,3.53,2.21,2.21,0,0
20/9/2023,14.08,89.4,21.77,25.18,8.24,52.68,11.11,3.6,2.22,2.22,0,0
19/9/2023,14.22,89.22,21.96,25.21,8.28,52.31,11.22,3.59,2.1,2.1,0,0
18/9/2023,14.28,88.92,22.14,25.24,8.34,51.82,11.39,3.6,2,2,0,0
17/9/2023,14.35,88.93,22.28,25.25,8.44,51.57,11.51,3.58,2.11,2.11,0,0
16/9/2023,14.49,88.92,22.39,25.32,8.62,51.64,11.73,3.67,2.15,2.15,0,0
15/9/2023,14.66,89.08,22.52,25.37,8.88,51.75,12.02,3.72,2.25,2.25,0,0
14/9/2023,14.88,89.05,22.82,25.32,9.15,51.61,12.28,3.71,2.33,2.33,0,0
13/9/2023,14.98,89.04,22.94,25.04,9.27,51.55,12.43,3.63,2.31,2.31,0,0
12/9/2023,15.03,89.15,23.08,25.02,9.38,51.36,12.59,3.67,2.31,2.31,0,0
11/9/2023,15.2,89.1,23.25,25.27,9.55,51.34,12.79,3.76,2.28,2.28,0,0
10/9/2023,15.41,89.16,23.48,25.35,9.79,51.51,13.06,3.67,2.33,2.33,0,0
9/9/2023,15.59,89.25,23.68,25.31,9.97,51.41,13.28,3.62,2.41,2.41,0,0
8/9/2023,15.73,89.12,23.9,25.18,10.21,51.4,13.51,3.62,2.33,2.33,0,0
7/9/2023,15.91,88.96,24.2,25.2,10.37,51.09,13.74,3.62,2.32,2.32,0,0
6/9/2023,15.99,88.74,24.36,24.92,10.45,50.75,13.9,3.48,2.13,2.13,0,0
5/9/2023,16.09,88.76,24.55,24.95,10.59,50.5,14.04,3.36,2.03,2.03,0,0
4/9/2023,16.24,88.91,24.71,24.99,10.76,50.41,14.26,3.43,2.07,2.07,0,0
3/9/2023,16.43,89.09,24.87,24.83,11.04,50.72,14.48,3.45,2.11,2.11,0,0
2/9/2023,16.67,89.15,25.1,24.8,11.28,50.81,14.7,3.5,1.95,1.95,0,0
1/9/2023,16.86,89.08,25.37,24.72,11.48,50.59,14.92,3.5,1.96,1.96,0,0
31/8/2023,16.96,88.9,25.57,24.46,11.57,50.33,15.02,3.39,1.79,1.79,0,0
30/8/2023,16.95,88.82,25.63,24.29,11.59,50.09,15.06,3.44,1.45,1.45,0,0
29/8/2023,17,88.71,25.69,24.45,11.69,50.18,15.17,3.57,1.42,1.42,0,0
28/8/2023,17.14,88.68,25.82,24.45,11.83,50.23,15.33,3.59,1.54,1.54,0,0
27/8/2023,17.23,88.74,25.94,24.35,11.96,50.34,15.43,3.48,1.63,1.63,0,0
26/8/2023,17.22,88.62,25.91,24.23,11.95,50.3,15.45,3.52,1.66,1.66,0,0
25/8/2023,17.26,88.59,25.97,24.21,12.04,50.21,15.56,3.63,1.58,1.58,0,0
24/8/2023,17.39,88.61,26.12,24.5,12.11,50.04,15.65,3.65,1.71,1.71,0,0
23/8/2023,17.47,88.6,26.19,24.55,12.2,50.15,15.74,3.62,1.74,1.74,0,0
22/8/2023,17.53,88.53,26.3,24.65,12.27,50.09,15.83,3.65,1.8,1.8,0,0
21/8/2023,17.49,88.33,26.3,24.51,12.23,49.86,15.87,3.67,1.84,1.84,0,0
20/8/2023,17.48,88.11,26.35,24.25,12.24,49.72,15.9,3.63,1.84,1.84,0,0
19/8/2023,17.47,87.93,26.42,24.3,12.22,49.55,15.94,3.58,1.8,1.8,0,0
18/8/2023,17.45,87.75,26.43,24.4,12.19,49.39,15.95,3.6,1.94,1.94,0,0
17/8/2023,17.47,87.68,26.46,24.52,12.22,49.4,15.99,3.49,2.02,2.02,0,0
16/8/2023,17.52,87.56,26.5,24.61,12.3,49.76,16.07,3.49,2.21,2.21,0,0
15/8/2023,17.61,87.5,26.59,24.66,12.4,49.86,16.18,3.4,2.27,2.27,0,0
14/8/2023,17.64,87.4,26.67,24.56,12.48,49.85,16.27,3.39,2.33,2.33,0,0
13/8/2023,17.57,87.08,26.68,24.51,12.45,49.67,16.27,3.43,2.21,2.21,0,0
12/8/2023,17.53,86.77,26.73,24.54,12.38,49.19,16.27,3.54,2.1,2.1,0,0
11/8/2023,17.65,86.83,26.86,24.64,12.45,49.22,16.38,3.52,2.26,2.26,0,0
10/8/2023,17.74,86.81,26.96,24.72,12.48,49.16,16.45,3.45,2.37,2.37,0,0
