date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2023-10-23,7.03,4.43,450,"1993-10-16 2022-10-30",89.42,7.82,450,"1993-10-16 2022-10-30",12.83,4.35,450,"1993-10-16 2022-10-30",28.12,10.75,450,"1993-10-16 2022-10-30",1.22,4.23,450,"1993-10-16 2022-10-30",57.2,13.71,450,"1993-10-16 2022-10-30",4.35,3.63,450,"1993-10-16 2022-10-30",5.3,5.14,450,"1993-10-16 2022-10-30",2.26,5.15,444,"1993-10-16 2022-10-30",2.25,5.13,443,"1993-10-16 2022-10-30",0.01,0.13,443,"1993-10-16 2022-10-30",0,0,297,"1993-10-16 2018-10-27",,,,
2023-10-22,7.29,4.49,450,"1993-10-15 2022-10-29",89.54,7.65,450,"1993-10-15 2022-10-29",13.01,4.36,450,"1993-10-15 2022-10-29",28.41,11.11,450,"1993-10-15 2022-10-29",1.39,4.19,450,"1993-10-15 2022-10-29",57.49,13.37,450,"1993-10-15 2022-10-29",4.53,3.62,450,"1993-10-15 2022-10-29",5.37,5.17,450,"1993-10-15 2022-10-29",2.25,5.07,444,"1993-10-16 2022-10-29",2.24,5.06,443,"1993-10-16 2022-10-29",0.01,0.13,443,"1993-10-16 2022-10-29",0,0,297,"1993-10-16 2018-10-27",,,,
2023-10-21,7.61,4.56,450,"1993-10-14 2022-10-28",89.6,7.58,450,"1993-10-14 2022-10-28",13.31,4.42,450,"1993-10-14 2022-10-28",28.08,10.88,450,"1993-10-14 2022-10-28",1.64,4.28,450,"1993-10-14 2022-10-28",57.53,13.47,450,"1993-10-14 2022-10-28",4.74,3.68,450,"1993-10-14 2022-10-28",5.2,4.97,450,"1993-10-14 2022-10-28",2.34,5.12,444,"1993-10-14 2022-10-28",2.33,5.11,443,"1993-10-14 2022-10-28",0.01,0.13,443,"1993-10-14 2022-10-28",0,0,297,"1993-10-14 2018-10-27",,,,
2023-10-20,7.98,4.64,450,"1993-10-13 2022-10-27",89.79,7.65,450,"1993-10-13 2022-10-27",13.7,4.53,450,"1993-10-13 2022-10-27",27.92,10.86,450,"1993-10-13 2022-10-27",1.94,4.42,450,"1993-10-13 2022-10-27",57.53,13.48,450,"1993-10-13 2022-10-27",5,3.8,450,"1993-10-13 2022-10-27",5.06,4.81,450,"1993-10-13 2022-10-27",2.36,5.11,443,"1993-10-13 2022-10-27",2.35,5.09,442,"1993-10-13 2022-10-27",0.01,0.13,442,"1993-10-13 2022-10-27",0,0,297,"1993-10-13 2018-10-27",,,,
2023-10-19,8.18,4.66,450,"1993-10-12 2022-10-26",89.65,7.68,450,"1993-10-12 2022-10-26",14.04,4.52,450,"1993-10-12 2022-10-26",27.7,10.81,450,"1993-10-12 2022-10-26",2.11,4.56,450,"1993-10-12 2022-10-26",57,13.72,450,"1993-10-12 2022-10-26",5.2,3.91,450,"1993-10-12 2022-10-26",4.95,4.77,450,"1993-10-12 2022-10-26",2.24,5.03,444,"1993-10-12 2022-10-26",2.24,5.03,443,"1993-10-12 2022-10-26",0,0.04,443,"1993-10-12 2022-10-26",0,0,297,"1993-10-12 2018-10-18",,,,
2023-10-18,8.38,4.66,450,"1993-10-11 2022-10-25",89.57,7.6,450,"1993-10-11 2022-10-25",14.38,4.53,450,"1993-10-11 2022-10-25",27.55,10.79,450,"1993-10-11 2022-10-25",2.25,4.6,450,"1993-10-11 2022-10-25",56.4,13.66,450,"1993-10-11 2022-10-25",5.36,3.96,450,"1993-10-11 2022-10-25",4.85,4.68,450,"1993-10-11 2022-10-25",2.1,4.99,443,"1993-10-12 2022-10-25",2.1,4.99,442,"1993-10-12 2022-10-25",0,0.01,442,"1993-10-12 2022-10-25",0,0,296,"1993-10-12 2018-10-18",,,,
2023-10-17,8.56,4.7,450,"1993-10-10 2022-10-24",89.55,7.58,450,"1993-10-10 2022-10-24",14.71,4.6,450,"1993-10-10 2022-10-24",27.45,10.66,450,"1993-10-10 2022-10-24",2.43,4.67,450,"1993-10-10 2022-10-24",55.93,13.59,450,"1993-10-10 2022-10-24",5.54,4.08,450,"1993-10-10 2022-10-24",4.71,4.57,450,"1993-10-10 2022-10-24",2,4.86,442,"1993-10-12 2022-10-24",2,4.87,441,"1993-10-12 2022-10-24",0,0.01,441,"1993-10-12 2022-10-24",0,0,295,"1993-10-12 2018-10-18",,,,
2023-10-16,8.81,4.78,450,"1993-10-09 2022-10-23",89.62,7.56,450,"1993-10-09 2022-10-23",15.05,4.67,450,"1993-10-09 2022-10-23",27.25,10.49,450,"1993-10-09 2022-10-23",2.63,4.76,450,"1993-10-09 2022-10-23",55.7,13.48,450,"1993-10-09 2022-10-23",5.71,4.15,450,"1993-10-09 2022-10-23",4.61,4.63,450,"1993-10-09 2022-10-23",2.09,5.04,442,"1993-10-09 2022-10-23",2.1,5.04,441,"1993-10-09 2022-10-23",0,0.01,441,"1993-10-09 2022-10-23",0,0,295,"1993-10-09 2018-10-18",,,,
2023-10-15,9.07,4.83,450,"1993-10-08 2022-10-22",89.67,7.59,450,"1993-10-08 2022-10-22",15.4,4.76,450,"1993-10-08 2022-10-22",27.22,10.43,450,"1993-10-08 2022-10-22",2.86,4.81,450,"1993-10-08 2022-10-22",55.38,13.5,450,"1993-10-08 2022-10-22",5.96,4.2,450,"1993-10-08 2022-10-22",4.5,4.53,450,"1993-10-08 2022-10-22",1.97,4.89,443,"1993-10-08 2022-10-22",1.97,4.89,442,"1993-10-08 2022-10-22",0,0.01,442,"1993-10-08 2022-10-22",0,0,296,"1993-10-08 2018-10-18",,,,
2023-10-14,9.43,4.86,450,"1993-10-07 2022-10-21",89.74,7.6,450,"1993-10-07 2022-10-21",15.77,4.72,450,"1993-10-07 2022-10-21",27.33,10.8,450,"1993-10-07 2022-10-21",3.13,4.93,450,"1993-10-07 2022-10-21",55.24,13.73,450,"1993-10-07 2022-10-21",6.18,4.3,450,"1993-10-07 2022-10-21",4.45,4.48,450,"1993-10-07 2022-10-21",1.95,4.83,443,"1993-10-07 2022-10-21",1.95,4.83,443,"1993-10-07 2022-10-21",0,0,443,"1993-10-07 2022-10-21",0,0,296,"1993-10-07 2018-10-18",,,,
